horizon_sessions,factor,factor_label,factor_type,target,version,mean_rank_ic,rank_ic_ir,positive_ic_rate,top_bottom_spread,period_count
5,liquidity_turnover_20d,20日平均换手率,收益因子,收益,中性化,-0.02128385428591947,-0.240191447511726,0.3812316715542522,-0.0016995517947534467,341
5,crowding_max_return_20d,20日最大单日涨幅,收益因子,收益,原始,-0.06310220547415485,-0.35006254089620203,0.34017595307917886,-0.0011323271863920574,341
5,crowding_max_return_20d,20日最大单日涨幅,收益因子,收益,中性化,-0.006712243393530651,-0.08322313313268812,0.4574780058651026,-0.0002510099422577596,341
5,risk_volatility_20d,20日波动率风险,风险因子,回撤风险,原始,0.20861298772076306,1.069671224634136,0.8533724340175953,0.02502478238961792,341
5,risk_volatility_20d,20日波动率风险,风险因子,回撤风险,中性化,0.1653961110656421,1.2293404375622534,0.8826979472140762,0.020903403787131028,341
5,risk_volatility_60d,60日波动率风险,风险因子,回撤风险,原始,0.20086002963745525,0.9934659002221987,0.8387096774193549,0.02490130504222371,341
5,risk_volatility_60d,60日波动率风险,风险因子,回撤风险,中性化,0.16599072064662507,1.1747395085461216,0.8826979472140762,0.020954433292565196,341
5,risk_drawdown_60d,距60日高点回撤风险,风险因子,回撤风险,原始,0.016804753025916302,0.08703713695011155,0.5601173020527859,-0.00018873599116988118,341
5,risk_drawdown_60d,距60日高点回撤风险,风险因子,回撤风险,中性化,0.015081338603395176,0.10787310992404776,0.5513196480938416,-0.00022048301436586315,341
5,risk_max_return_20d,20日最大单日涨幅风险,风险因子,回撤风险,原始,0.18029169736989764,1.080919586158333,0.8533724340175953,0.02047652953786686,341
5,risk_max_return_20d,20日最大单日涨幅风险,风险因子,回撤风险,中性化,0.1396632669053363,1.1805874446184768,0.873900293255132,0.015618110625907407,341
5,risk_downside_volatility_60d,60日下行波动率风险,风险因子,回撤风险,原始,0.14919258404212157,0.7955973906197408,0.8035190615835777,0.018686688004719645,341
5,risk_downside_volatility_60d,60日下行波动率风险,风险因子,回撤风险,中性化,0.11829705867890639,0.9288090758960524,0.8387096774193549,0.01505324419228524,341
5,risk_residual_volatility_60d,60日残差波动率风险,风险因子,回撤风险,原始,0.19234205339072744,1.1345383268275009,0.8680351906158358,0.023804429355051473,341
5,risk_residual_volatility_60d,60日残差波动率风险,风险因子,回撤风险,中性化,0.15993090714387245,1.26439772989966,0.8944281524926686,0.020829318040006033,341
5,risk_liquidity_pressure_60d,60日流动性压力,风险因子,回撤风险,原始,-0.05704546845932927,-0.33598680728761315,0.3841642228739003,-0.006751255171191142,341
5,risk_liquidity_pressure_60d,60日流动性压力,风险因子,回撤风险,中性化,-0.05136316910406725,-0.5351968481787752,0.2873900293255132,-0.007301921882140471,341
5,risk_cvar_60d,60日尾部损失（CVaR）,风险因子,回撤风险,原始,0.1504405688594905,0.7828530177797569,0.8123167155425219,0.01809567775837281,341
5,risk_cvar_60d,60日尾部损失（CVaR）,风险因子,回撤风险,中性化,0.1194868094912469,0.9160656588915036,0.8328445747800587,0.014370335223058306,341
5,risk_market_beta_60d,60日沪深300 Beta,风险因子,回撤风险,原始,0.0683003313979152,0.34101871107744236,0.6304985337243402,0.0045176240309927305,341
5,risk_market_beta_60d,60日沪深300 Beta,风险因子,回撤风险,中性化,0.03289598989333425,0.247064069125707,0.5865102639296188,0.0019163808482964423,341
5,risk_healthcare_beta_60d,60日医疗板块Beta,风险因子,回撤风险,原始,0.12389106988209822,0.5695212467881762,0.7478005865102639,0.012854069131107457,341
5,risk_healthcare_beta_60d,60日医疗板块Beta,风险因子,回撤风险,中性化,0.0917532535195551,0.6459213324892937,0.7859237536656891,0.009624186309723125,341
