entry_date,rank_ic,top_decile_relative_return,bottom_decile_relative_return,top_bottom_spread,stock_count,market_regime,test_year,horizon_sessions,healthcare_benchmark,model
2024-06-14,0.08441800703321813,0.009115605084216223,0.008265533551273766,0.0008500715329424566,472,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-06-21,0.166912217132565,0.013948925153319768,-0.0010549270057516925,0.01500385215907146,472,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-06-28,0.22585305996922667,0.014293446146089947,-0.014327985319624379,0.028621431465714324,472,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-07-05,0.13830836534816993,0.005629757899426412,-0.02256712608695822,0.028196883986384633,472,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-07-12,-0.3113056051679973,-0.021583429767260503,0.03705847126889305,-0.05864190103615355,472,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-07-19,0.20574465736620545,0.014848144069466841,-0.010091624836929112,0.024939768906395952,472,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-07-26,0.367989255483307,0.02538754309136944,-0.004650697060628817,0.030038240151998255,472,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-08-02,0.2859191570755554,0.019318499841727475,-0.01483103032533605,0.03414953016706353,471,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-08-09,0.0824893771895288,0.004213742888674776,-0.005856552024498768,0.010070294913173544,471,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-08-16,0.3409002843602444,0.016476407639592697,-0.04663169423980322,0.06310810187939592,470,医疗独立行情,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-08-23,0.10126711299961452,0.0034033823572679443,0.0071405235362565584,-0.003737141178988614,471,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-08-30,-0.016219430079284336,0.003476753083977277,0.003962992083243362,-0.0004862389992660852,471,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-09-06,-0.12314662131588319,-0.006866185458834874,0.020467474503207964,-0.027333659962042837,471,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-09-13,0.16727422321097907,0.009789034354326593,0.005118610261863703,0.00467042409246289,471,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-09-24,-0.1447494148534205,-0.04425855379084268,0.04054870623928228,-0.08480726003012495,471,大盘独涨,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-10-08,0.21680238402160473,0.019407274980484814,0.0023113178682317875,0.017095957112253025,471,风险偏好,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-10-15,-0.3179624377761302,-0.0231931687316097,0.04232023190609746,-0.06551340063770716,471,风险偏好,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-10-22,-0.007074246164173864,-0.006881945664355688,0.04235643388066337,-0.049238379545019056,471,风险偏好,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-10-29,0.13757456273452,0.0003974037137687546,-0.041928699424469064,0.04232610313823782,472,风险偏好,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-11-05,-0.25408170982884826,-0.018559147861594367,0.02449632224727685,-0.043055470108871216,472,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-11-12,0.5328862561615781,0.034013872787037804,-0.029363310776329764,0.06337718356336756,473,风险偏好,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-11-19,0.03610252001274989,-0.0033681904247324784,0.004984441778318698,-0.008352632203051175,474,风险偏好,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-11-26,-0.07236393496654099,-0.010800673284845437,0.001253625639273943,-0.01205429892411938,474,医疗独立行情,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-12-03,-0.13123693529094582,-0.009958601163116218,0.0104848450061926,-0.020443446169308818,474,医疗独立行情,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-12-10,0.4835719649701601,0.020273086156641515,-0.026670642285867796,0.04694372844250931,474,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-12-17,0.2735566207606936,0.019719928629903384,-0.01901067873151645,0.03873060736141984,474,医疗独立行情,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-12-24,0.14284827330306119,0.006101505017760645,-0.02568624908938824,0.03178775410714889,474,大盘独涨,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2024-12-31,0.12965530405552367,0.012046363535241163,0.010939825802490038,0.0011065377327511249,474,防御/修复,2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-01-08,0.1331933886361439,0.008086961071836098,-0.03920421180210061,0.04729117287393671,475,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-01-15,-0.03491974511185986,-0.004773578089130558,0.0065076576032096186,-0.011281235692340175,475,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-01-22,0.31680093571243306,0.01872310723410392,-0.03599188628779147,0.05471499352189539,475,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-02-06,-0.029167571177940187,-0.0034603494842862215,0.022397722928286568,-0.025858072412572788,475,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-02-13,-0.07597890463676964,-0.013934119652707586,0.009381764058285379,-0.023315883710992965,475,大盘独涨,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-02-20,0.0510375396263684,-0.003876839285110611,0.0027853872666112126,-0.006662226551721823,475,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-02-27,0.01990160941699934,-0.0043345530766722455,0.021634345546225942,-0.02596889862289819,475,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-03-06,0.33807969114589626,0.006971360669353455,-0.016686032192985974,0.02365739286233943,475,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-03-13,0.1836601015188879,0.006243803447667867,-0.0034413512597421514,0.009685154707410019,475,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-03-20,0.29656295779047576,0.02140292877493367,-0.02951258928682569,0.05091551806175936,476,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-03-27,0.0639235815725144,-0.008162466515984469,0.018890967116544335,-0.027053433632528802,476,医疗独立行情,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-04-03,0.12846123036180096,0.008240836867806139,-0.012410606818073303,0.020651443685879442,476,医疗独立行情,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-04-11,0.19046325695445873,0.016116419724469953,-0.013555440424150448,0.029671860148620402,476,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-04-18,0.10930815942500409,-0.00232932792145935,-0.011978824535033064,0.009649496613573713,476,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-04-25,0.024558927052235873,-0.0023983968201429,-0.014593672036105494,0.012195275215962594,476,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-05-07,0.12484065992542935,0.0013069248752605965,-0.016864576551801982,0.01817150142706258,474,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-05-14,0.14078960941975285,0.0070695247980337855,-0.014764569204567778,0.021834094002601563,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-05-21,0.12378308539216439,0.001980624030431979,-0.0051442764011009915,0.007124900431532971,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-05-28,-0.2016610275287323,-0.020956357544412274,0.029232810138379087,-0.05018916768279136,474,医疗独立行情,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-06-05,-0.26882504452555694,-0.027916157550220585,0.05175404771586264,-0.07967020526608322,473,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-06-12,0.5991225804566815,0.029528103561909737,-0.044038916028717574,0.07356701959062731,472,医疗独立行情,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-06-19,0.19066557888566718,-0.004795799711623162,-0.016018225298254023,0.01122242558663086,472,医疗独立行情,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-06-26,-0.3491736813363874,-0.029535543761018346,0.05849911408968431,-0.08803465785070266,472,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-07-03,0.13945896677423641,-0.007893072550981933,-0.00020000475612722232,-0.00769306779485471,472,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-07-10,-0.17919498406645046,-0.019365506749133937,0.017327100323490583,-0.03669260707262452,472,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-07-17,0.08083258652046824,-0.00654609498360047,-0.01512067927693945,0.008574584293338981,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-07-24,-0.17016370204605702,-0.023506447883553938,-0.0013287313427786478,-0.02217771654077529,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-07-31,0.2872799506129117,0.005564474673253363,-0.03687946440655585,0.042443939079809215,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-08-07,-0.20073242263155316,-0.01650144426472933,0.027860521373317543,-0.04436196563804687,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-08-14,0.20691142748079894,0.007520394199406227,-0.023279702904895727,0.030800097104301954,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-08-21,0.14106026531775026,0.006063788867563251,-0.009877488661096829,0.015941277528660078,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-08-28,0.02182905793082939,-0.01085324643187107,0.007024805785313536,-0.017878052217184606,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-09-04,-0.033601354012860865,-0.007397813723400394,-0.006279060126446088,-0.0011187535969543055,474,大盘独涨,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-09-11,-0.0624693791086106,-0.004438870721718356,0.018502065207610968,-0.022940935929329324,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-09-18,-0.09288919760809383,-0.00990935827226117,0.015975791722380468,-0.025885149994641636,474,大盘独涨,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-09-25,0.3472602279936546,0.012077022771752544,-0.03424681435982261,0.04632383713157515,474,大盘独涨,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-10-10,0.3498801613573566,0.031941793331009584,-0.014454641381824096,0.04639643471283368,474,大盘独涨,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-10-17,0.14201366587565611,0.02202872047263416,0.00029897320554618523,0.021729747267087974,474,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
