ts_code,entry_date,market_regime,predicted_relative_return,return_model_score,horizon_sessions,healthcare_benchmark,model
300158.SZ,2026-07-20,医疗独立行情,0.0007743480958430586,80.64516129032258,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300171.SZ,2026-07-20,医疗独立行情,-0.00010703727983538396,39.03225806451613,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300181.SZ,2026-07-20,医疗独立行情,-0.000139628742501143,37.096774193548384,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300199.SZ,2026-07-20,医疗独立行情,0.0005974955519308265,73.54838709677419,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300204.SZ,2026-07-20,医疗独立行情,0.0010696538586523244,89.6774193548387,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300206.SZ,2026-07-20,医疗独立行情,0.001011140049174989,86.7741935483871,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300233.SZ,2026-07-20,医疗独立行情,-6.131878431965813e-05,40.96774193548387,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300244.SZ,2026-07-20,医疗独立行情,0.0003500708276532628,61.61290322580645,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300253.SZ,2026-07-20,医疗独立行情,0.0007391419592446329,79.03225806451613,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300255.SZ,2026-07-20,医疗独立行情,-0.0033776433241747964,0.967741935483871,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300267.SZ,2026-07-20,医疗独立行情,0.0007550060737397396,79.6774193548387,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300294.SZ,2026-07-20,医疗独立行情,-0.00012970061954332198,37.74193548387097,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300298.SZ,2026-07-20,医疗独立行情,3.346474824545404e-05,46.12903225806452,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300341.SZ,2026-07-20,医疗独立行情,0.0013428067544246712,93.54838709677419,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300347.SZ,2026-07-20,医疗独立行情,-0.0010515761861085735,12.903225806451612,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300357.SZ,2026-07-20,医疗独立行情,0.00021121618105580657,55.483870967741936,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300358.SZ,2026-07-20,医疗独立行情,-0.0002157841732851461,32.903225806451616,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300363.SZ,2026-07-20,医疗独立行情,-0.0005981235379011647,20.967741935483872,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300401.SZ,2026-07-20,医疗独立行情,-0.0014651407627737831,7.741935483870968,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300406.SZ,2026-07-20,医疗独立行情,0.0010400133832829984,88.38709677419355,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
