horizon_sessions,test_year,model,factor,factor_label,coefficient
20,2023,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,0.0020588838444470826
20,2023,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.001305886980290362
20,2023,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,-0.000661597334446798
20,2023,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.002251780538134449
20,2023,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.009361760781400899
20,2024,收益模型,trend_5d,5日趋势,0.0013999135850977036
20,2024,收益模型,trend_20d,20日趋势,-0.000666431692111552
20,2024,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.0022069733328942804
20,2024,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.002567817696330637
20,2024,收益模型,value_bp,账面市值比（BP）,-0.00023758501812707456
20,2024,收益模型,value_ep,盈利收益率（EP）,-0.00024864182662106117
20,2024,收益模型,liquidity_turnover_20d,20日平均换手率,-0.0025686724123182444
20,2024,收益模型,crowding_max_return_20d,20日最大单日涨幅,-0.0014696452085197656
20,2024,基础回撤模型,risk_volatility_20d,20日波动率风险,0.005576721238352884
20,2024,基础回撤模型,risk_volatility_60d,60日波动率风险,0.010480108653593508
20,2024,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.003208758173594845
20,2024,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.000645401429008584
20,2024,增强回撤模型,risk_volatility_20d,20日波动率风险,-0.0006128501522925279
20,2024,增强回撤模型,risk_volatility_60d,60日波动率风险,0.0029356149143664727
20,2024,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0018337677126131964
20,2024,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.0015198422092146174
20,2024,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,0.00045644686974230135
20,2024,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,0.007637925487504448
20,2024,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,-0.0008634099134918455
20,2024,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.002609271760135203
20,2024,增强回撤模型,risk_market_beta_60d,60日沪深300 Beta,-0.0013749164587147404
