ts_code,price_date,latest_close_qfq,trading_days,ret_5d,ret_20d,ret_60d,ret_120d,ret_250d,ma20_gap,ma60_gap,drawdown_60d,drawdown_250d,above_ma20,above_ma60,volatility_20d,market_beta_60d,healthcare_beta_60d,market_beta_percentile,healthcare_beta_percentile,market_beta_bucket,healthcare_beta_bucket,name,healthcare_subindustry,classification_confidence,market,valuation_as_of_date,latest_turnover_rate,latest_pe_ttm,latest_pb,total_mv,market_cap_100m,price_stale_days,pe_valid,pb_valid,pe_percentile_sub,pb_percentile_sub,valuation_score,valuation_status,valuation_coverage,ret_5d_market_pct,ret_5d_sub_pct,ret_20d_market_pct,ret_20d_sub_pct,ret_60d_market_pct,ret_60d_sub_pct,ret_120d_market_pct,ret_120d_sub_pct,momentum_score,overheat_score,volatility_percentile,stale_risk,risk_score,data_completeness_score,research_score,temperature,group,signal_label,subindustry_rank,subindustry_count,market_rank
300401.SZ,2026-07-24,12.04,1833,-0.1319394376351839,-0.46512661039537995,-0.07590738442554623,-0.3475240747636581,-0.2280624940465148,-0.27731092436974814,-0.19748536623673407,-0.46512661039537995,-0.46512661039537995,False,False,0.8553003545578556,1.264980293596301,0.16100964640008655,0.9709677419354839,0.012903225806451613,高Beta,低Beta,花园生物,原料药,high,创业板,2026-07-24,4.5044,25.3634,1.9974,655959.1864,65.59591864,0,True,True,0.3125,0.5555555555555556,59.02777777777778,PE+PB有效,1.0,0.05177993527508091,0.2222222222222222,0.009708737864077669,0.05555555555555555,0.656957928802589,0.8333333333333334,0.11688311688311688,0.1111111111111111,26.70951696032602,2.8640776699029127,0.7806451612903226,0.0,17.617757594738492,100.0,43.139990981429285,偏冷,C,弱趋势/数据不足,14,18,255
688185.SH,2026-07-24,48.35,1441,-0.024217961654893982,0.009394572025052339,-0.2657555049354593,-0.2842339008142116,-0.21801714378133585,-0.05035942962642892,-0.12151072295942766,-0.2858197932053176,-0.4535488245931284,False,False,0.537054815705507,0.634338451053671,1.2415508330200364,0.7193548387096774,0.7645161290322581,高Beta,高Beta,康希诺,疫苗,high,科创板,2026-07-24,1.0863,,2.4249,1194456.773,119.4456773,0,False,True,,0.8181818181818182,15.454545454545448,仅PB有效,0.4,0.6084142394822006,0.8181818181818182,0.2815533980582524,0.36363636363636365,0.13268608414239483,0.09090909090909091,0.2435064935064935,0.36363636363636365,26.707461738354183,28.220064724919098,0.45483870967741935,0.0,28.850819500991754,73.00000000000001,30.56049048150011,偏冷,C,弱趋势/数据不足,9,11,256
688520.SH,2026-07-24,33.76,1477,-0.0699724517906336,0.023030303030302957,-0.18611378977820636,-0.25458158533892694,-0.5467848033293059,-0.08068512921057647,-0.1033319610629343,-0.23637186156978063,-0.6057456498890577,False,False,0.7097058343260314,0.3871662490435733,1.469983534712596,0.5451612903225806,0.8612903225806452,中Beta,高Beta,神州细胞,生物制品/创新药,medium,科创板,2026-07-24,0.7541,,224.1979,1587853.3232,158.78533232,0,False,True,,1.0,0.0,仅PB有效,0.4,0.20711974110032363,0.17857142857142858,0.3333333333333333,0.10714285714285714,0.29449838187702265,0.25,0.3116883116883117,0.17857142857142858,26.591240657749317,29.142394822006473,0.6419354838709678,0.0,33.238386052823884,73.00000000000001,25.968986486726006,偏冷,C,弱趋势/数据不足,26,28,257
600851.SH,2026-07-24,7.45,1833,-0.0799745450601157,-0.14793097070908445,-0.10947654895961301,-0.06272406777999284,0.05904606962209891,-0.12182629666417755,-0.08608266662395136,-0.2568674471992016,-0.2568674471992016,False,False,0.5700549423158412,1.122495736105702,1.133583673826831,0.9387096774193548,0.6645161290322581,高Beta,中Beta,海欣股份,化学制药/仿制药,medium,主板,2026-07-24,1.1408,52.3098,1.9783,899257.2415,89.92572415,0,True,True,1.0,0.2727272727272727,29.090909090909093,PE+PB有效,1.0,0.16828478964401294,0.36363636363636365,0.07119741100323625,0.09090909090909091,0.540453074433657,0.5454545454545454,0.7792207792207793,0.7272727272727273,26.336300841090964,17.297734627831712,0.5032258064516129,0.0,22.172930368514457,100.0,34.74856822210468,偏冷,C,弱趋势/数据不足,10,11,258
300633.SZ,2026-07-24,18.12,1833,-0.040762308099523525,0.008347245409015214,-0.3135107867093807,-0.3494104360703628,-0.3592125913783426,-0.04337037721405368,-0.11189097857465569,-0.28701471181044447,-0.5004623697879786,False,False,0.4254274114269271,0.09065855196792273,0.7952072294336067,0.19032258064516128,0.3193548387096774,低Beta,低Beta,开立医疗,医疗设备,high,创业板,2026-07-24,1.6418,43.3459,2.3589,769805.55,76.98055500000001,0,True,True,0.6,0.2727272727272727,53.0909090909091,PE+PB有效,1.0,0.39805825242718446,0.38095238095238093,0.2783171521035599,0.5714285714285714,0.08737864077669903,0.14285714285714285,0.10714285714285714,0.23809523809523808,25.893149308459268,29.773462783171517,0.25483870967741934,0.0,25.93819814176845,100.0,39.917887136537566,偏冷,C,弱趋势/数据不足,14,22,259
300482.SZ,2026-07-24,15.69,1833,-0.06216377764494929,-0.093063583815029,-0.14221599902484905,-0.25869530107047156,-0.2712770780706516,-0.07005689900426748,-0.12430108337641244,-0.24312590448625182,-0.37847575516197973,False,False,0.3922678849914011,0.3748907742161312,0.8612662511681451,0.532258064516129,0.38387096774193546,中Beta,中Beta,万孚生物,IVD/体外诊断,high,创业板,2026-07-24,2.4318,,1.3576,734431.3272,73.44313272000001,0,False,True,,0.26666666666666666,62.33333333333334,仅PB有效,0.4,0.22653721682847897,0.2,0.10355987055016182,0.13333333333333333,0.4174757281553398,0.4666666666666667,0.30194805194805197,0.4666666666666667,24.886106211947638,21.472491909385116,0.18064516129032257,0.0,18.64364756237603,73.00000000000001,42.71844992614551,偏冷,C,弱趋势/数据不足,13,15,260
300253.SZ,2026-07-24,6.52,1828,-0.03264094955489627,-0.007610350076103556,-0.24274099883855982,-0.4335360556038228,-0.36390243902439023,-0.0510152099556076,-0.14956521739130435,-0.31870428422152564,-0.5573659198913783,False,False,0.5408229795511202,0.7972062327061985,1.0896584246172942,0.832258064516129,0.6387096774193548,高Beta,中Beta,卫宁健康,互联网医疗/医疗IT,high,创业板,2026-07-24,3.0074,,2.6054,1435231.2348,143.52312348,0,False,True,,1.0,0.0,仅PB有效,0.4,0.49514563106796117,0.4444444444444444,0.22653721682847897,0.2222222222222222,0.18770226537216828,0.3333333333333333,0.03571428571428571,0.2222222222222222,24.798603774631975,24.3042071197411,0.4612903225806452,0.0,26.238751435431674,73.00000000000001,25.943349549464433,偏冷,C,弱趋势/数据不足,8,9,261
002907.SZ,2026-07-24,12.25,1833,-0.06914893617021278,-0.050387596899224785,-0.12335865739066043,-0.1945929473536736,-0.2731955359177596,-0.10128021716004554,-0.06242853808187343,-0.18927862342819324,-0.4063612525769934,False,False,0.7287048049343919,0.4863990645819301,1.0881224575513615,0.6258064516129033,0.635483870967742,中Beta,中Beta,华森制药,中药,high,主板,2026-07-24,2.0925,88.9316,2.9666,511555.4675,51.155546750000006,0,True,True,0.9354838709677419,0.8108108108108109,11.438535309503054,PE+PB有效,1.0,0.21359223300970873,0.13513513513513514,0.15857605177993528,0.05405405405405406,0.4692556634304207,0.21621621621621623,0.487012987012987,0.2702702702702703,24.7905793505919,26.488673139158575,0.6612903225806451,0.0,31.767877649023905,100.0,27.968799790377318,偏冷,C,弱趋势/数据不足,36,37,262
688566.SH,2026-07-24,23.1,1502,-0.07599999999999996,-0.009858551221602951,-0.18878551655482378,-0.20697789029161684,-0.19840936757910088,-0.10195354261833034,-0.09584056411062547,-0.17937269027012237,-0.4430654658156219,False,False,0.5717842405508023,0.3140721659773125,1.1227092159399223,0.45806451612903226,0.6612903225806451,中Beta,中Beta,吉贝尔,化学制药/创新药,medium,科创板,2026-07-24,1.0706,18.2841,1.8721,464544.696,46.4544696,0,True,True,0.5,0.34375,56.25,PE+PB有效,1.0,0.18446601941747573,0.1875,0.2168284789644013,0.15625,0.284789644012945,0.25,0.4383116883116883,0.375,23.718579254120865,26.116504854368934,0.5096774193548387,0.0,28.475101785155026,100.0,39.02238228469926,偏冷,C,弱趋势/数据不足,29,32,263
688177.SH,2026-07-24,16.58,1559,-0.060623229461756356,0.029813664596272993,-0.26114081996434946,-0.3199343724364233,-0.38364312267657996,-0.07454438893695425,-0.0982187372524137,-0.2179245283018868,-0.5224654377880185,False,False,0.6553178921060766,0.2899823613913559,1.30714495029319,0.4129032258064516,0.8064516129032258,中Beta,高Beta,百奥泰,生物制品/创新药,medium,科创板,2026-07-24,0.5363,,30.6325,686544.64,68.654464,0,False,True,,0.9285714285714286,6.0714285714285685,仅PB有效,0.4,0.24919093851132687,0.21428571428571427,0.36245954692556637,0.14285714285714285,0.1423948220064725,0.10714285714285714,0.16883116883116883,0.14285714285714285,23.537810990368662,32.24919093851133,0.603225806451613,0.0,34.63894978599019,73.00000000000001,25.44470126917981,偏冷,C,弱趋势/数据不足,27,28,264
